Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::as_strided,,,0.8,0.8,0,0,0,0
aten::fill_,,,5.45,8.78,0,0,0,0
aclnnInplaceFillScalar,,,3.33,3.33,0,0,0,0
aten::slice,,,1.72,3.08,0,0,0,0
aten::as_strided,,,1.36,1.36,0,0,0,0
aten::copy_,,,16.25,29.39,0,0.6,0,0
aclnnInplaceCopy,,,13.14,13.14,0.6,0.6,0,0
aten::select,,,4.21,5.15,0,0,0,0
aten::as_strided,,,0.94,0.94,0,0,0,0
aten::slice,,,1.9,18.39,0,0,0,0
aten::as_strided,,,16.49,16.49,0,0,0,0
aten::slice,,,1.45,2.12,0,0,0,0
aten::as_strided,,,0.67,0.67,0,0,0,0
aten::fill_,,,9.13,13.87,0,0,0,0
aclnnInplaceFillTensor,,,4.74,4.74,0,0,0,0
aten::slice,,,2.39,3.95,0,0,0,0
aten::as_strided,,,1.56,1.56,0,0,0,0
aten::slice,,,1.66,3.57,0,0,0,0
aten::as_strided,,,1.91,1.91,0,0,0,0
aten::slice,,,1.29,3.26,0,0,0,0
aten::as_strided,,,1.97,1.97,0,0,0,0
aten::fill_,,,18.98,24.51,0,0,0,0
aclnnInplaceFillScalar,,,5.53,5.53,0,0,0,0
aten::slice,,,1.69,2.8,0,0,0,0
aten::as_strided,,,1.11,1.11,0,0,0,0
aten::fill_,,,3.87,7.67,0,0,0,0
aclnnInplaceFillScalar,,,3.8,3.8,0,0,0,0
aten::slice,,,1.76,2.8,0,0,0,0
aten::as_strided,,,1.04,1.04,0,0,0,0
aten::slice,,,1.35,2.03,0,0,0,0
aten::as_strided,,,0.68,0.68,0,0,0,0
aten::sub,,,7.04,32.97,0,1.52,0,0
empty_tensor,,,5.58,5.58,0,0,0,0
aclnnSub,,,20.35,20.35,1.52,1.52,0,0
aten::sub,,,5.08,37.45,0,1.52,0,0
empty_tensor,,,2.49,2.49,0,0,0,0
aclnnSub,,,29.88,29.88,1.52,1.52,0,0
aten::select,,,3.84,7.12,0,0,0,0
aten::as_strided,,,3.28,3.28,0,0,0,0
aten::slice,,,2.26,3.65,0,0,0,0
aten::as_strided,,,1.39,1.39,0,0,0,0
aten::copy_,,,23.41,41.64,0,0.7,0,0
aclnnInplaceCopy,,,18.23,18.23,0.7,0.7,0,0
aten::slice,,,2.38,3.39,0,0,0,0
aten::as_strided,,,1.01,1.01,0,0,0,0
aten::slice,,,1.27,1.97,0,0,0,0
aten::as_strided,,,0.7,0.7,0,0,0,0
aten::fill_,,,4.26,7.04,0,0,0,0
aclnnInplaceFillScalar,,,2.78,2.78,0,0,0,0
aten::slice,,,1.76,3.41,0,0,0,0
aten::as_strided,,,1.65,1.65,0,0,0,0
aten::copy_,,,17.68,33.02,0,0.54,0,0
aclnnInplaceCopy,,,15.34,15.34,0.54,0.54,0,0
aten::select,,,3.33,4.46,0,0,0,0
aten::as_strided,,,1.13,1.13,0,0,0,0
aten::slice,,,2.28,3.21,0,0,0,0
aten::as_strided,,,0.93,0.93,0,0,0,0
aten::slice,,,1.49,2.3,0,0,0,0
aten::as_strided,,,0.81,0.81,0,0,0,0
aten::fill_,,,5.46,8.84,0,0,0,0
aclnnInplaceFillTensor,,,3.38,3.38,0,0,0,0
aten::slice,,,2.24,4.01,0,0,0,0
aten::as_strided,,,1.77,1.77,0,0,0,0
aten::slice,,,1.44,2.55,0,0,0,0
aten::as_strided,,,1.11,1.11,0,0,0,0
aten::slice,,,1.3,3.02,0,0,0,0
aten::as_strided,,,1.72,1.72,0,0,0,0
aten::fill_,,,15.19,19.88,0,0,0,0
aclnnInplaceFillScalar,,,4.69,4.69,0,0,0,0
aten::slice,,,1.71,2.78,0,0,0,0
aten::as_strided,,,1.07,1.07,0,0,0,0
aten::fill_,,,3.91,6.84,0,0,0,0
aclnnInplaceFillScalar,,,2.93,2.93,0,0,0,0
aten::slice,,,1.93,3.26,0,0,0,0
aten::as_strided,,,1.33,1.33,0,0,0,0
aten::slice,,,1.43,2.33,0,0,0,0
aten::as_strided,,,0.9,0.9,0,0,0,0
aten::sub,,,6.86,30.13,0,1.402,0,0
empty_tensor,,,5.45,5.45,0,0,0,0
aclnnSub,,,17.82,17.82,1.402,1.402,0,0
aten::sub,,,4.22,16.86,0,1.58,0,0
empty_tensor,,,2.61,2.61,0,0,0,0
aclnnSub,,,10.03,10.03,1.58,1.58,0,0
aten::select,,,3.68,6.35,0,0,0,0
aten::as_strided,,,2.67,2.67,0,0,0,0
aten::slice,,,2.11,4.15,0,0,0,0
aten::as_strided,,,2.04,2.04,0,0,0,0
aten::copy_,,,20.81,36.11,0,0.54,0,0
aclnnInplaceCopy,,,15.3,15.3,0.54,0.54,0,0
aten::slice,,,2.18,3.28,0,0,0,0
aten::as_strided,,,1.1,1.1,0,0,0,0
aten::slice,,,1.41,2.24,0,0,0,0
aten::as_strided,,,0.83,0.83,0,0,0,0
aten::fill_,,,4.29,7.75,0,0,0,0
aclnnInplaceFillScalar,,,3.46,3.46,0,0,0,0
aten::slice,,,1.85,4.06,0,0,0,0
aten::as_strided,,,2.21,2.21,0,0,0,0
aten::copy_,,,14.75,27.62,0,0.6,0,0
aclnnInplaceCopy,,,12.87,12.87,0.6,0.6,0,0
aten::select,,,3.13,4.17,0,0,0,0
aten::as_strided,,,1.04,1.04,0,0,0,0
aten::slice,,,2.34,5.71,0,0,0,0
aten::as_strided,,,3.37,3.37,0,0,0,0
aten::slice,,,1.45,2.26,0,0,0,0
aten::as_strided,,,0.81,0.81,0,0,0,0
aten::fill_,,,4.77,7.66,0,0,0,0
aclnnInplaceFillTensor,,,2.89,2.89,0,0,0,0
aten::slice,,,2.64,4.22,0,0,0,0
aten::as_strided,,,1.58,1.58,0,0,0,0
aten::slice,,,1.52,2.98,0,0,0,0
